"selection_code";"description"
"RES02RT1";"Businesses by principal activity - data for CZ and regions. Time granularity: Year. Territory types: State, Region"
"RES02RT2";"Businesses by principal activity - data for CZ, regions and districts. Time granularity: Year. Territory types: State, Region, District"
"RES02RT3";"Businesses by principal activity - data for regions and MEP. Time granularity: Year. Territory types: Region, AD MEP"
"RES02RT4";"Businesses by principal activity - data for CZ and regions, territorial comparison. Time granularity: Year. Territory types: State, Region"
"RES02RT5";"Businesses by principal activity - data for CZ, regions and districts, territorial comparison. Time granularity: Year. Territory types: State, Region, District"
"RES02RT6";"Businesses by principal activity - data for regions and MEP, territorial comparison. Time granularity: Year. Territory types: Region, AD MEP"
"WSBDZO1AT7";"Cross-border movements of good - Month. Time granularity: Month. Territory types: State"
"CRU02RT1";"Occupancy in collective accommodation establishments -  data for CZ, regions and districts. Time granularity: Year. Territory types: State, Region, District"
"CRU02RT2";"Occupancy in collective accommodation establishments by residence and category. Time granularity: Year. Territory types: State, Region, AD MEP"
"CRU02RT3";"Occupancy in collective accommodation establishments -  data for CZ & regions, territorial comparison. Time granularity: Year. Territory types: State, Region"
"CRU02RT4";"Occupancy in collective accommodation establishments -  data for CZ, regions, districts, territorial comparison. Time granularity: Year. Territory types: State, Region, District"
"CRU02RT5";"Occupancy in collective accommodation establishments -  data for CZ, regions, AD MEP, territorial comparison. Time granularity: Year. Territory types: State, Region, AD MEP"
"CRU02RT6";"Occupancy in collective accommodation establishments by country. Time granularity: Year. Territory types: State, Region"
"CRU02QT1";"Occupancy in collective accommodation establishments - time series. Time granularity: Quarter. Territory types: State, Region"
"CRU02QT2";"Occupancy in collective accommodation establishments - territorial comparison. Time granularity: Quarter. Territory types: State, Region"
"CRU02QT3";"Occupancy in collective accommodation establishments by country. Time granularity: Quarter. Territory types: State, Region"
"CRU02QBULL";"Occupancy in collective accommodation establishments by categories. Time granularity: Quarter. Territory types: State, Region"
"WSBDZO1BT8";"Cross-border movements of good - Quarter. Time granularity: Quarter. Territory types: State"
"CRU02MT1";"Occupancy in collective accommodation establishments . Time granularity: Month. Territory types: State, Region"
"CRU02MT2";"Occupancy in collective tourist accommodation establishments by country. Time granularity: Month. Territory types: State, Region"
"SLU03AT1";"Service production index - calendar effects adjusted - month. Time granularity: Month. Territory types: State"
"SLU03AT2";"Service production index - calendar effects adjusted - quarter. Time granularity: Quarter. Territory types: State"
"SLU03AT3";"Service production index - calendar effects adjusted - year. Time granularity: Year. Territory types: State"
"SLU03BT1";"Service production index - unadjusted - month. Time granularity: Month. Territory types: State"
"SLU03BT2";"Service production index - unadjusted - quarter. Time granularity: Quarter. Territory types: State"
"SLU03BT3";"Service production index - unadjusted - year. Time granularity: Year. Territory types: State"
"SLU03CT1";"Service production index - seasonally and calendar adjusted - month. Time granularity: Month. Territory types: State"
"SLU03CT2";"Service production index - seasonally and calendar adjusted - quarter. Time granularity: Quarter. Territory types: State"
"SLU03CT3";"Service production index - seasonally and calendar adjusted - year. Time granularity: Year. Territory types: State"
"WPRACECRT1";" The number of employees and average gross monthly wages and salaries (full-time equivalent) - years date. Time granularity: Cumulative Quarter. Territory types: State, Region"
"WPRACECRT2";" The number of employees and average gross monthly wages and salaries by region (full-time equivalent) - years date. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY04BGENTCR";"Life expectancy for the Czech Republic. Time granularity: Year. Territory types: State"
"WGEN01G1";"Population by one-year age groups in the CR (as at 31. 12.). Time granularity: Year"
"WOBY01A";"Main data on population and vital statistics - quarterly cumulation. Time granularity: Cumulative Quarter. Territory types: State, Region"
"WOBY01B";"Main data on population and vital statistics - annual. Time granularity: Year. Territory types: State, Region"
"RES01QT1";"Businesses by selected legal forms - data for CZ and regions. Time granularity: Quarter. Territory types: State, Region"
"RES01QT2";"Businesses by selected legal forms - data for CZ, regions and districts. Time granularity: Quarter. Territory types: State, Region, District"
"RES01QT3";"Businesses by selected legal forms - data for regions and MEP. Time granularity: Quarter. Territory types: Region, AD MEP"
"RES01QT4";"Businesses by selected legal forms - data for CZ and regions, territorial comparison. Time granularity: Quarter. Territory types: State, Region"
"RES01QT5";"Businesses by selected legal forms - data for CZ, regions and districts, territorial comparison. Time granularity: Quarter. Territory types: State, Region, District"
"RES01QT6";"Businesses by selected legal forms - data for regions and MEP, territorial comparison. Time granularity: Quarter. Territory types: Region, AD MEP"
"RES01RT1";"Businesses by selected legal forms - data for CZ and regions. Time granularity: Year. Territory types: State, Region"
"RES01RT2";"Businesses by selected legal forms - data for CZ, regions and districts. Time granularity: Year. Territory types: State, Region, District"
"RES01RT3";"Businesses by selected legal forms - data for regions and MEP. Time granularity: Year. Territory types: Region, AD MEP"
"RES01RT4";"Businesses by selected legal forms - data for CZ and regions, territorial comparison. Time granularity: Year. Territory types: State, Region"
"RES01RT5";"Businesses by selected legal forms - data for CZ, regions and districts. Time granularity: Year. Territory types: State, Region, District"
"RES01RT6";"Businesses by selected legal forms - data for regions and MEP, territorial comparison. Time granularity: Year. Territory types: Region, AD MEP"
"WOBY04M2";"Standardized mortality rates from diseases of xxx. Time granularity: Year. Territory types: State, Region"
"WZEM03A1T01";" Harvest of crops in CR (t). Time granularity: Year. Territory types: State"
"UNP4T1";"Hours worked and hours paid but not worked by CZ-NACE section. Time granularity: Year. Territory types: State"
"UNP4T2";"Hours worked and hours paid but not worked by size of reporting unit. Time granularity: Year. Territory types: State"
"RES05T1";"Birth and death of businesses - yearly data. Time granularity: Year. Territory types: State, Region, District"
"RES05T2";"Birth and death of businesses - yearly data, terrítorial comparison. Time granularity: Year. Territory types: State, Region, District"
"RES05T3";"Birth and death of businesses - quarterly data. Time granularity: Quarter. Territory types: State, Region, District"
"RES05T4";"Birth and death of businesses - quarterly data, territorial comparison. Time granularity: Quarter. Territory types: State, Region, District"
"RES06T1";"Registrations by aggregated economic activities - yearly data. Time granularity: Year. Territory types: State"
"RES06T2";"Registrations by aggregated economic activities - quarterly data. Time granularity: Quarter. Territory types: State"
"WESU01A";"Počet ekonomických subjektů celkem (stav k 31. 12.). Time granularity: Year. Territory types: State, Region"
"WESU01AKR";"Businesses total by selected legal forms by Region. Time granularity: Year. Territory types: State, Region"
"WESU01B";"Birth and death of businesses. Time granularity: Year. Territory types: State, Region"
"WESU01BKR";"Birth and death of businesses by Region. Time granularity: Year. Territory types: State, Region"
"WOBY02A";"Population as at 31 December. Time granularity: Year. Territory types: State, Region"
"WOBY02B";"Projected population (as at 1 January). Time granularity: Year. Territory types: State"
"WESU01C";"Registrations by aggregated economic activities - quarterly data. Time granularity: Quarter. Territory types: State"
"SLU01AT1";"Sales indices (excl. VAT) in Services - calendar effects adjusted - month. Time granularity: Month. Territory types: State"
"SLU01AT2";"Sales indices (excl. VAT) in Services - calendar effects adjusted - quarter. Time granularity: Quarter. Territory types: State"
"SLU01AT3";"Sales indices (excl. VAT) in Services - calendar effects adjusted - year. Time granularity: Year. Territory types: State"
"SLU01BT1";"Sales indices (excl. VAT) in Services - unadjusted - month. Time granularity: Month. Territory types: State"
"SLU01BT2";"Sales indices (excl. VAT) in Services - unadjusted - quarter. Time granularity: Quarter. Territory types: State"
"SLU01BT3";"Sales indices (excl. VAT) in Services - unadjusted - year. Time granularity: Year. Territory types: State"
"SLU01CT1";"Sales indices (excl. VAT) in Services - seasonally and calendar adjusted - month. Time granularity: Month. Territory types: State"
"SLU01CT2";"Sales indices (excl. VAT) in Services - seasonally and calendar adjusted - quarter. Time granularity: Quarter. Territory types: State"
"SLU01CT3";"Sales indices (excl. VAT) in Services - seasonally and calendar adjusted - yrae. Time granularity: Year. Territory types: State"
"CRU02MHOTT1";"Occupancy in hotels . Time granularity: Month. Territory types: State, Region"
"CRU02MHOTT2";"Occupancy in hotels by country. Time granularity: Month. Territory types: State, Region"
"WPRACECRQT1";" The number of employees and average gross monthly wages and salaries (full-time equivalent) - quarterly data. Time granularity: Quarter. Territory types: State, Region"
"WPRACECRQT2";" The number of employees and average gross monthly wages and salaries by region - quarterly data. Time granularity: Quarter. Territory types: State, Region"
"WPRACECRQT3";" Average gross nominal wage per full-time equivalent employee, quarterly data. Time granularity: Quarter. Territory types: State, Region"
"OBY04ZEM03T01";"Deaths by week and five-year age group. Time granularity: Week. Territory types: State, Region"
"OBY04ZEM02T01";"Deaths by weeks and age group - absolute data. Time granularity: Week. Territory types: State, Region"
"OBY04ZEM02T02";"Deaths by weeks and age group - per 100,000 population. Time granularity: Week. Territory types: State, Region"
"OBY04ZEM01T01";"Deaths by month and age group. Time granularity: Month. Territory types: State, Region"
"MZDCRRT1";"The number of employees and average gross monthly wages from an annual survey by CZ-NACE section for the Czech Republic - time series. Time granularity: Year. Territory types: State"
"MZDCRRT2";"The number of employees and average gross monthly wages from an annual survey by CZ-NACE section and by CZ-NUTS - time series. Time granularity: Year. Territory types: Region"
"FIN03PSZAM";"Employees and wages of pension companies and funds (in persons and CZK mil.) 	. Time granularity: Year. Territory types: State"
"FIN03PSVYN";"Revenues of pension companies and funds (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PSNAK";"Expenses of pension companies and funds (CZK mil.) 	. Time granularity: Year. Territory types: State"
"FIN03PSUPS";"Selected indicators of pension companies and funds (CZK mil., persons) . Time granularity: Year. Territory types: State"
"FIN03PSAKT";"Assets of pension companies and funds (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PSPAS";"Liabilities of pension companies and funds (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PSFA";"Financial assets  in pension companies and funds (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PSDUK";"Complementary indicators of pension companies and funds (CZK mil.) 	. Time granularity: Year. Territory types: State"
"OBY02FHVDT01";"Age structure indicators as at 31. 12.. Time granularity: Year. Territory types: State, NUTS2, Region"
"WSTAT1";"Construction production - Year-On-Year Increase /Decrease (%). Time granularity: Month. Territory types: State"
"CIZ03";"Ekonomic activity of foreigners . Time granularity: Year. Territory types: State"
"RES03QOBCET1";"Businesses by size of business (number of employees) - quarterly data for municipalities by region. Time granularity: Quarter. Territory types: Region, Municipality"
"KPR2T1";"Balances of Confidence Indicators. Time granularity: Month. Territory types: State"
"WREG02";"Time series. Time granularity: Year. Territory types: State, Region"
"CIZ01D";"Foreigners by citizenship as at 31 December. Time granularity: Year. Territory types: State"
"KPR1T1";"Confidence Indicators – basic indices. Time granularity: Month. Territory types: State"
"WREG01T1";"Population and Age Distribution by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01T2";"Population change by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01T3";"The Number of Employees and Their Wages by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01T4";"Registered unemployment by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01T5";"Building permits and housing construction by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01T6";"Macroeconomic indicators by Regions. Time granularity: Year. Territory types: State, Region"
"LES0101T01";"Forest ownership and forest categories. Time granularity: Year. Territory types: State"
"LES0102T01";"Selected data on forestry. Time granularity: Year. Territory types: State, Region"
"LES0102T02";" Selected data on forestry by Region. Time granularity: Year. Territory types: State, Region"
"ZAM06BT1";"Unemployment rate by age group. Time granularity: Year. Territory types: State, NUTS2, Region"
"ZAM06BT2";"Unemployment rate by educational attainment. Time granularity: Year. Territory types: State, NUTS2, Region"
"ZAM06AT1";"Employment rate by age group. Time granularity: Year. Territory types: State, NUTS2, Region"
"ZAM06AT2";"Employment rate by educational attainment. Time granularity: Year. Territory types: State, NUTS2, Region"
"OBY04D";"Age-standardised death rates by sex and cause of death (per 100,000 population). Time granularity: Year. Territory types: State, Region"
"OBY04ET01";"Deaths by sex and five-year age group . Time granularity: Year. Territory types: State, Region"
"OBY04ET02";"Deaths by sex, age and marital status. Time granularity: Year. Territory types: State"
"FIN03BANKZAM";"Employees and wages of banking monetary institutions. Time granularity: Year. Territory types: State"
"FIN03BANKAKT";"Assets of banking monetary institutions (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03BANKFA";"Financial assets of banking monetary institutions (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03BANKPAS";"Liabilities of banking monetary institutions (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03BANKNAK";"Selected expenses of banking monetary institutions (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03BANKVYN";"Selected revenues of banking monetary institutions (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03BANKDHM";"Tangible fixed assets including land and mineral deposits of banking monetary institutions (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03BANKDNM";"Intangible fixed assets of banking monetary institutions (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03BANKDUK";"Complementary indicators of banking monetary institutions (CZK mil.). Time granularity: Year. Territory types: State"
"OBY04BTCR";"Complete life tables for the Czech Republic. Time granularity: Year. Territory types: State"
"OBY04BTRS";"Complete life tables for Cohesion regions. Time granularity: Year. Territory types: NUTS2"
"OBY04BTK";"Complete life tables for regions. Time granularity: Two years. Territory types: Region"
"OBY04BTO";"Complete life tables for districts. Time granularity: Five years. Territory types: District"
"OBY04BTOR";"Complete life tables for AD MEP. Time granularity: Five years. Territory types: AD MEP"
"OBY04BT01";"Life Expectancy - Time Series. Time granularity: Year. Territory types: State"
"OBY04BT02";"Life Expectancy at birth – territorial comparison. Time granularity: Two years. Territory types: Region"
"OBY04CT01";"Deaths by selected cause of death and sex. Time granularity: Year. Territory types: State, Region"
"OBY04CT02";"Deaths by selected cause of death by AD MEP. Time granularity: Year. Territory types: AD MEP"
"OBY04FT01";"Age-specific mortality rates by sex. Time granularity: Year. Territory types: State, Region"
"WCEN03BT01";"Export and import price indices - year-on-year changes (%). Time granularity: Month. Territory types: State"
"WCEN03T01";"Index of export and import prices, CPA classification (%). Time granularity: Month. Territory types: State"
"OBY04AT01";"Deaths by sex and basic age group. Time granularity: Year. Territory types: State, Region"
"OBY01B01T01";"Main data on population and vital statistics by municipalities. Time granularity: Year. Territory types: Region, Municipality"
"SILC02DT1";"Persons under deprivation threshold by economic activity. Time granularity: Year. Territory types: State"
"SILC02CT1";"Persons under deprivation threshold by age. Time granularity: Year. Territory types: State"
"SILC02FT1";"Persons under deprivation threshold by legal form of flat use. Time granularity: Year. Territory types: State"
"SILC02ET1";"Persons under deprivation threshold by type of household. Time granularity: Year. Territory types: State"
"WGEN07OBT01";"Women and men – elections to local councils. Time granularity: Year. Territory types: State, Region"
"WGEN07OBT02";"Women and men in the Region – elections to local councils . Time granularity: Year. Territory types: State, Region"
"SILC02BT1";"Persons under deprivation threshold by sex. Time granularity: Year. Territory types: State"
"SILC02AT1";"Material deprivation threshold and material deprivation rate. Time granularity: Year. Territory types: State"
"VAV02T01";"High-tech goods. Time granularity: Year. Territory types: State"
"WREG0401";"Life Expectancy at birth . Time granularity: Two years. Territory types: Region"
"WREG0402";"Total increase/decrease per 1.000 inhabitants. Time granularity: Year. Territory types: Region"
"WREG0403";"Average monthly amount of pension - Old-age pension (full). Time granularity: Year. Territory types: Region"
"WREG0404";"Median of monthly gross wages (CZK). Time granularity: Year. Territory types: Region"
"OBY03HVDT01";"Births - selected summary data. Time granularity: Year. Territory types: State, NUTS2, Region"
"WREG0301";"Age Structure of the Population by Region. Time granularity: Year. Territory types: State, Region"
"WREG0302";"Increase / decrease of the Population. Time granularity: Year. Territory types: State, Region"
"WREG0303";"Average gross monthly wages- full-time equivalent (CZK). Time granularity: Year. Territory types: State, Region"
"WREG0304";"Job applicants registered at the employment offices. Time granularity: Year. Territory types: State, Region"
"WREG0305";"Housing construction. Time granularity: Year. Territory types: State, Region"
"WREG0306";"GDP per capita (CZK). Time granularity: Year. Territory types: State, Region"
"RES02ROBCE";"Businesses by principal activity - yearly data for municipalities by region. Time granularity: Year. Territory types: Region, Municipality"
"WREG01AT1";"Population and Age Distribution by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01AT2";"Population change by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01BT3";"The Number of Employees and Their Wages by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01CT4";"Registered unemployment by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01DT5";"Building permits and housing construction by Regions. Time granularity: Year. Territory types: State, Region"
"WREG01ET6";"Macroeconomic indicators by Regions. Time granularity: Year. Territory types: State, Region"
"SZB10";" Average monthly numbers of disbursements of sickness insurance benefits paid by type of benefit (in thousands). Time granularity: Year. Territory types: State"
"ZEM0202AT01";"Meat production (tonnes). Time granularity: Year. Territory types: State, Region"
"WVSPST1";"Activity status of population aged 15 or more. Time granularity: Year. Territory types: State, Region"
"WVSPST2";" Activity status of population aged 15 or more by Region. Time granularity: Year. Territory types: State, Region"
"OBC01T1";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - month. Time granularity: Month. Territory types: State"
"OBC01T2";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - quarter. Time granularity: Quarter. Territory types: State"
"OBC01T3";"Sales indices (excl. VAT) in Retail Trade and Sale and Repair of Motor Vehicles - year. Time granularity: Year. Territory types: State"
"OBC02T1";"Sales indices (excl. VAT) in Wholesale trade and Trade total - unadjusted - month. Time granularity: Month. Territory types: State"
"OBC02T2";"Sales indices (excl. VAT) in Wholesale trade and Trade total - unadjusted - quarter. Time granularity: Quarter. Territory types: State"
"OBC02T3";"Sales indices (excl. VAT) in Wholesale trade and Trade total - unadjusted - year. Time granularity: Year. Territory types: State"
"OBC03T1";"Selected indicators of trade. Time granularity: Year. Territory types: State"
"OBY01BHVDT02";"Selected indicators on vital statistics - relative figures per 1.000 population.. Time granularity: Year. Territory types: State, NUTS2, Region"
"OBY05AT01";"Marriages - selected summary data. Time granularity: Year. Territory types: State, Region"
"OBY05BT01";"Divorces - selected summary data. Time granularity: Year. Territory types: State, Region"
"NEZ02T1";"Structure of job applicants registered at the employment offices by highest educational attainment. Time granularity: Year. Territory types: State, Region, District"
"NEZ02T2";"Structure of job applicants registered at the employment offices by age groups. Time granularity: Year. Territory types: State, Region, District"
"NEZ02T3";"Structure of job applicants registered at the employment offices by duration of unemployment. Time granularity: Year. Territory types: State, Region, District"
"OBY02PT01";"Projected population by sex and broad age group, age structure indicators as at 1. 1.. Time granularity: Year. Territory types: State"
"OBY02PT03";"Projected population by sex and age as at 1. 1.. Time granularity: Year. Territory types: State"
"OBY02PT02";"Projected population balance, fertility and mortality indicators. Time granularity: Year. Territory types: State"
"NEZ01T1";"Share of unemployed persons, vacancies registered at the employment offices (as at 31 December). Time granularity: Year. Territory types: State, Region, District"
"OBY02PKT01";"Projected population by sex and broad age group, age structure indicators as at 1. 1.. Time granularity: Year. Territory types: Region"
"OBY02PKT03";"Projected population by sex and age as at 1. 1.. Time granularity: Year. Territory types: Region"
"OBY02PKT02";"Projected population balance, fertility and mortality indicators. Time granularity: Year. Territory types: Region"
"OBY02GHVDT01";"Population by sex, age and marital status as at 31. 12.. Time granularity: Year. Territory types: State"
"SZB08";"Recipients of pensions old-age pension and disability pension (including any simultaneously) (asat December of the relevant year. Time granularity: Year. Territory types: State, Region, District"
"SZB08A";"Recipients of pensions old-age pension and disability pension (including any simultaneously) (asat December of the relevant year -  Territorial comparison. Time granularity: Year. Territory types: State, Region, District"
"SZB07A1";"Social services establishments as at 31 December - Territorial comparison. Time granularity: Year. Territory types: State, Region, AD MEP, Municipality"
"SZB07B1";"Social services establishments as at 31 December - Time series. Time granularity: Year. Territory types: State, Region, AD MEP, Municipality"
"SZB07C";"Social services establishments as at 31 December (AD MEP). Time granularity: Year. Territory types: AD MEP"
"SZB06";"Average monthly  widow´s and Widower´s pension (CZK). Time granularity: Year. Territory types: State, Region, District"
"LES0201T01";"Selected data on hunting. Time granularity: Year. Territory types: State, Region"
"LES0201T02";"Selected data on hunting by Region. Time granularity: Year. Territory types: State, Region"
"SZB09";" Care benefit recipients by the level of dependence in December of a given year - time series. Time granularity: Year. Territory types: State, Region"
"SZB09A";" Care benefit recipients by the level of dependence in December of a given year - Territorial comparison. Time granularity: Year. Territory types: State, Region"
"SZB09B";" Care benefit recipients by the level of dependence in December of a given year - by sex and age. Time granularity: Year. Territory types: State, Region"
"OBY06DT01";"Internal migration between districts by sex and age . Time granularity: Year. Territory types: District"
"OBY06ET01";"Internal migration between administrative districts of MEP by sex and age. Time granularity: Year. Territory types: AD MEP"
"WGEN07PST01";"Ženy a muži – volby do Poslanecké sněmovny Parlamentu ČR. Time granularity: Year. Territory types: State, Region"
"PRU09BT1";"Sales from industrial activity: Data adjusted for seasonal and calendar effects - month. Time granularity: Month. Territory types: State"
"PRU09BT2";"Sales from industrial activity: Data adjusted for seasonal and calendar effects - quarter. Time granularity: Quarter. Territory types: State"
"PRU09BT3";"Sales from industrial activity: Data adjusted for seasonal and calendar effects - year. Time granularity: Year. Territory types: State"
"PRU09AT1";"Sales from industrial activity - unadjusted data: month. Time granularity: Month. Territory types: State"
"PRU09AT2";"Sales from industrial activity - unadjusted data: quarter. Time granularity: Quarter. Territory types: State"
"PRU09AT3";"Sales from industrial activity - unadjusted data: year. Time granularity: Year. Territory types: State"
"PRU09AT4";"Sales from industrial activity - unadjusted data: cumulation since the beginning of the year. Time granularity: Cumulative Month. Territory types: State"
"PRU09AT5";"Sales from industrial activity - unadjusted data: cumulation of the last 12 months. Time granularity: Moving 12 Months. Territory types: State"
"OBY06BT01";"Internal migration between cohesion regions by sex and age. Time granularity: Year"
"OBY06CT02";"Internal migration between regions by sex and age. Time granularity: Year"
"OBY06AT02";"Migration by broad age group. Time granularity: Year. Territory types: State, Region"
"OBY06AT01";"Migration by five-year age group. Time granularity: Year. Territory types: State, Region"
"WREG03A01";"Age Structure of the Population by Region. Time granularity: Year. Territory types: State, Region"
"WREG03A02";"Increase / decrease of the Population. Time granularity: Year. Territory types: State, Region"
"STAV112NZT2";"New orders in the CR - quarterly. Time granularity: Quarter. Territory types: State"
"STAV112NZT1";"New orders in the CR - annualy. Time granularity: Year. Territory types: State"
"WREG03B03";"Average gross monthly wages- full-time equivalent (CZK). Time granularity: Year. Territory types: State, Region"
"WREG03C04";"Job applicants registered at the employment offices. Time granularity: Year. Territory types: State, Region"
"WREG03D05";"Housing construction. Time granularity: Year. Territory types: State, Region"
"MZDRT1";"The number of employees and average gross monthly wages from a quarterly survey - time series. Time granularity: Year. Territory types: State"
"MZDRT2";"The number of employees and average gross monthly wages from a quarterly survey by CZ-NACE section. Time granularity: Year. Territory types: State"
"MZDRT3";"The number of employees and average gross monthly wages from a quarterly survey by institutional sector. Time granularity: Year. Territory types: State"
"MZDRT4";"The number of employees and average gross monthly wages from a quarterly survey by size of reporting unit. Time granularity: Year. Territory types: State"
"MZDRT5";"The number of employees and average gross monthly wages from a quarterly survey by CZ-NUTS. Time granularity: Year. Territory types: State, NUTS2, Region"
"RES03ROBCE";"Businesses by size of business (number of employees) - yearly data for municipalities by region. Time granularity: Year. Territory types: Region, Municipality"
"WPRUT1";"Průmyslová produkce meziroční růst/pokles (%). Time granularity: Month. Territory types: State"
"WREG04A01";"Life Expectancy at birth . Time granularity: Two years. Territory types: Region"
"WREG04A02";"Total increase/decrease per 1.000 inhabitants. Time granularity: Year. Territory types: Region"
"WREG04B03";"Average monthly amount of pension - Old-age pension (full). Time granularity: Year. Territory types: Region"
"STA03AT1";"Construction production index - current prices - month. Time granularity: Month. Territory types: State"
"STA03AT3";"Construction production index - current prices - quarter. Time granularity: Quarter. Territory types: State"
"STA03AT4";"Construction production index - current prices - year. Time granularity: Year. Territory types: State"
"MZDMPRT1";"Wages paid, incl. other personnel costs from a quarterly survey by CZ-NACE section. Time granularity: Year. Territory types: State"
"MZDMPRT2";"Wages paid, incl. other personnel costs from a quarterly survey by institutional sector. Time granularity: Year. Territory types: State"
"MZDMPRT3";"Wages paid, incl. other personnel costs from a quarterly survey by CZ-NUTS. Time granularity: Year. Territory types: State, NUTS2, Region"
"WGEN03C1T02";"Women and men – activities performed on the Internet. Time granularity: Year. Territory types: State, Region"
"WGEN03C1T01";"Women and men – activities performed on the Internet by age groups . Time granularity: Year. Territory types: State, Region"
"WGEN03C2T01";"Women and men – usage of smart devices by age groups. Time granularity: Year. Territory types: State, Region"
"WSLU01T5";"Year-on-year indices of sales (excl. VAT) in services. Time granularity: Month. Territory types: State"
"MZDMPQT1";"Wages paid, incl. other personnel costs from a quarterly survey by CZ-NACE section. Time granularity: Quarter. Territory types: State"
"MZDMPQT4";"Mzdové prostředky a OON z čtvrtletního zjišťování - dle institucionálních sektorů. Time granularity: Quarter. Territory types: State"
"MZDMPQT3";"Wages paid, incl. other personnel costs from a quarterly survey by CZ-NUTS. Time granularity: Quarter. Territory types: State, NUTS2, Region"
"CEN0301T05";"Total indices of export and import prices, terms of trade, CPA classification - monthly. Time granularity: Month. Territory types: State"
"CEN0301T01";"Export and import price indices, terms of trade, CPA classification - yearly. Time granularity: Year. Territory types: State"
"CEN0301T02";"Export and import price indices, terms of trade, CPA classification - quarterly. Time granularity: Quarter. Territory types: State"
"CEN0301T03";"Export and import price indices, terms of trade, CPA classification - monthly. Time granularity: Month. Territory types: State"
"CEN0301T04";"Export and import price indices, terms of trade, CPA classification - monthly cumulation from the beginning of the year. Time granularity: Cumulative Month. Territory types: State"
"WGEN01A";"Women and men – Population*). Time granularity: Year. Territory types: State, Region"
"WGEN01AK";"Women and men in the Region – Population*). Time granularity: Year. Territory types: State, Region"
"CEN0305T01";"Breakdown of the growth in export and import price indices, CPA classification - monthly. Time granularity: Month. Territory types: State"
"WGEN01G1VN";"Number of women and men by selected age groups in regions. Time granularity: Year. Territory types: Region"
"FIN03ISIFZAM";"Employees and wages of investment companies and funds. Time granularity: Year. Territory types: State"
"FIN03ISIFAKT";"Assets of Investment companies and funds (in CZK mil.). Time granularity: Year. Territory types: State"
"FIN03ISIFFA";"Financial assets of investment companies and funds (in CZK mil.). Time granularity: Year. Territory types: State"
"FIN03ISIFPAS";"Liabilities of investment companies and funds (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03ISIFNAK";"Selected expenses of investment companies and funds (in CZK mil.). Time granularity: Year. Territory types: State"
"FIN03ISIFVYN";"Selected revenues of investment companies and funds (in CZK mil.). Time granularity: Year. Territory types: State"
"FIN03ISIFDHM";"Tangible fixed assets including land and mineral deposits of investment companies and funds (in CZK mil.). Time granularity: Year. Territory types: State"
"FIN03ISIFDNM";"Intangible fixed assets including land and mineral deposits of investment companies and funds (in CZK mil.) 	. Time granularity: Year. Territory types: State"
"FIN03ISIFDUK";"Complementary indicators of investment companies and funds (in CZK mil.). Time granularity: Year. Territory types: State"
"WGEN01B";"Women and men - life expectancy and deaths. Time granularity: Year. Territory types: State, Region"
"WGEN01BK";"Women and men in the Region - life expectancy and deaths. Time granularity: Year. Territory types: State, Region"
"WSTA05T3";"Building permits. Time granularity: Year. Territory types: State, Region"
"WSTA05T4";"Building permits by regions. Time granularity: Year. Territory types: State, Region"
"WSTA06T1";"Housing construction. Time granularity: Cumulative Quarter. Territory types: State, Region"
"WSTA06T2";"Housing construction by regions. Time granularity: Year. Territory types: State, Region"
"OBY02BHVDT01";"Population by sex and age as at 31. 12.. Time granularity: Year. Territory types: State, NUTS2, Region"
"CRU01RDMOT1";"Capacity of accommodation establishments in not territorially divided DMO. Time granularity: Year. Territory types: DMO1"
"CRU01RDMOT2";"Capacity of accommodation establishments in territorially divided DMO. Time granularity: Year. Territory types: DMO2"
"CRU01RDMOT3";"Capacity of accommodation establishments by category in not territorially divided DMO. Time granularity: Year. Territory types: DMO1"
"CRU01RDMOT4";"Capacity of accommodation establishments by category in territorially divided DMO. Time granularity: Year. Territory types: DMO2"
"CRU01RDMOT5";"Capacity of accommodation establishments by category in selected not territorially divided DMO. Time granularity: Year. Territory types: DMO1"
