Ukazatel;Roky;ORP;Druh zařízení sociálních služeb;value
Počet zařízení sociálních služeb;2023;Orlová (Moravskoslezský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Orlová (Moravskoslezský kraj);Domovy se zvláštním režimem;4.0
Počet zařízení sociálních služeb;2023;Orlová (Moravskoslezský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Sociální poradny;21.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Služby rané péče;2.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Nízkoprahová denní centra;2.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Nízkoprahová zařízení pro děti a mládež;9.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Sociálně terapeutické dílny;7.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Centra denních služeb;5.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Zařízení pro krizovou pomoc;4.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Centra sociálně rehabilitačních služeb;13.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Intervenční centra;1.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Služby následné péče;5.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Stacionáře denní;6.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Domovy pro osoby se zdravotním postižením;5.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Domovy pro seniory;15.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Azylové domy;10.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Chráněné bydlení;6.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Noclehárny;3.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Domovy se zvláštním režimem;12.0
Počet zařízení sociálních služeb;2023;Ostrava (Moravskoslezský kraj);Stacionáře týdenní;1.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Domovy pro seniory;5.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Ostrov (Karlovarský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Centra sociálně rehabilitačních služeb;1.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Stacionáře denní;2.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Domovy pro seniory;4.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Azylové domy;2.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Otrokovice (Zlínský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Centra denních služeb;1.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Domovy pro seniory;1.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Domovy se zvláštním režimem;3.0
Počet zařízení sociálních služeb;2023;Pacov (Kraj Vysočina);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Sociální poradny;10.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Služby rané péče;2.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Sociálně terapeutické dílny;2.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Centra denních služeb;2.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Zařízení pro krizovou pomoc;2.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Centra sociálně rehabilitačních služeb;12.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Intervenční centra;1.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Stacionáře denní;3.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Azylové domy;2.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Noclehárny;2.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Domovy se zvláštním režimem;3.0
Počet zařízení sociálních služeb;2023;Pardubice (Pardubický kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Sociálně terapeutické dílny;2.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Centra sociálně rehabilitačních služeb;3.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Stacionáře denní;2.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Domovy pro osoby se zdravotním postižením;3.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Domovy pro seniory;3.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Chráněné bydlení;3.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Domovy se zvláštním režimem;4.0
Počet zařízení sociálních služeb;2023;Pelhřimov (Kraj Vysočina);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Sociální poradny;5.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Sociálně terapeutické dílny;2.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Terapeutické komunity;2.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Zařízení pro krizovou pomoc;1.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Centra sociálně rehabilitačních služeb;3.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Služby následné péče;1.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Domovy pro seniory;3.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Domovy se zvláštním režimem;5.0
Počet zařízení sociálních služeb;2023;Písek (Jihočeský kraj);Stacionáře týdenní;1.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Sociální poradny;19.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Služby rané péče;2.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Nízkoprahová zařízení pro děti a mládež;4.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Sociálně terapeutické dílny;2.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Zařízení pro krizovou pomoc;2.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Centra sociálně rehabilitačních služeb;7.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Intervenční centra;1.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Služby následné péče;2.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Stacionáře denní;4.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Domovy pro seniory;4.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Azylové domy;5.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Chráněné bydlení;3.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Domovy se zvláštním režimem;5.0
Počet zařízení sociálních služeb;2023;Plzeň (Plzeňský kraj);Stacionáře týdenní;1.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Centra sociálně rehabilitačních služeb;1.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Domovy pro seniory;1.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Domovy se zvláštním režimem;2.0
Počet zařízení sociálních služeb;2023;Podbořany (Ústecký kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Centra sociálně rehabilitačních služeb;1.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Stacionáře denní;2.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Poděbrady (Středočeský kraj);Stacionáře týdenní;1.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Domovy pro seniory;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Domovy se zvláštním režimem;0.0
Počet zařízení sociálních služeb;2023;Pohořelice (Jihomoravský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Sociálně terapeutické dílny;2.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Centra sociálně rehabilitačních služeb;2.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Domovy pro seniory;1.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Polička (Pardubický kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Sociální poradny;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Služby rané péče;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Nízkoprahová denní centra;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Nízkoprahová zařízení pro děti a mládež;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Sociálně terapeutické dílny;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Terapeutické komunity;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Centra denních služeb;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Zařízení pro krizovou pomoc;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Centra sociálně rehabilitačních služeb;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Intervenční centra;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Služby následné péče;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Stacionáře denní;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Domovy pro osoby se zdravotním postižením;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Domovy pro seniory;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Azylové domy;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Domy na půl cesty;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Chráněné bydlení;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Noclehárny;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Domovy se zvláštním režimem;
Počet zařízení sociálních služeb;2023;Praha (Hlavní město Praha);Stacionáře týdenní;
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Sociální poradny;3.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Zařízení pro krizovou pomoc;1.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Centra sociálně rehabilitačních služeb;1.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Azylové domy;3.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Domovy se zvláštním režimem;2.0
Počet zařízení sociálních služeb;2023;Prachatice (Jihočeský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Prostějov (Olomoucký kraj);Sociální poradny;2.0
Počet zařízení sociálních služeb;2023;Prostějov (Olomoucký kraj);Služby rané péče;0.0
