Kategorie;Ukazatel;Čtvrtletí;ČR, kraje;value
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Pardubický kraj;158
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Kraj Vysočina;255
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Jihomoravský kraj;577
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Olomoucký kraj;239
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Zlínský kraj;191
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Moravskoslezský kraj;163
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Hlavní město Praha;682
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Středočeský kraj;145
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Jihočeský kraj;106
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Plzeňský kraj;84
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Karlovarský kraj;12
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Ústecký kraj;71
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Liberecký kraj;37
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Královéhradecký kraj;53
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Pardubický kraj;76
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Kraj Vysočina;142
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Jihomoravský kraj;317
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Olomoucký kraj;117
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Zlínský kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2015;Moravskoslezský kraj;86
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Hlavní město Praha;1158
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Středočeský kraj;228
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Jihočeský kraj;162
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Plzeňský kraj;157
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Karlovarský kraj;21
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Ústecký kraj;136
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Liberecký kraj;110
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Královéhradecký kraj;79
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Pardubický kraj;129
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Kraj Vysočina;343
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Jihomoravský kraj;610
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Olomoucký kraj;205
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Zlínský kraj;161
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2015;Moravskoslezský kraj;180
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Hlavní město Praha;882
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Středočeský kraj;203
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Jihočeský kraj;103
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Plzeňský kraj;143
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Karlovarský kraj;25
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Ústecký kraj;141
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Liberecký kraj;98
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Královéhradecký kraj;98
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Pardubický kraj;97
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Kraj Vysočina;211
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Jihomoravský kraj;603
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Olomoucký kraj;228
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Zlínský kraj;125
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2015;Moravskoslezský kraj;191
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Hlavní město Praha;1099
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Středočeský kraj;87
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Jihočeský kraj;128
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Plzeňský kraj;126
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Karlovarský kraj;9
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Ústecký kraj;59
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Liberecký kraj;39
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Královéhradecký kraj;94
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Pardubický kraj;140
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Kraj Vysočina;279
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Jihomoravský kraj;439
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Olomoucký kraj;155
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Zlínský kraj;154
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2014;Moravskoslezský kraj;236
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Hlavní město Praha;748
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Středočeský kraj;98
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Jihočeský kraj;68
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Plzeňský kraj;82
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Karlovarský kraj;13
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Ústecký kraj;46
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Liberecký kraj;43
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Královéhradecký kraj;62
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Pardubický kraj;73
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Kraj Vysočina;122
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Jihomoravský kraj;255
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Olomoucký kraj;111
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Zlínský kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2014;Moravskoslezský kraj;132
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Hlavní město Praha;1011
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Středočeský kraj;141
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Jihočeský kraj;140
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Plzeňský kraj;138
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Karlovarský kraj;18
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Ústecký kraj;55
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Liberecký kraj;107
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Královéhradecký kraj;82
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Pardubický kraj;97
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Kraj Vysočina;239
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Jihomoravský kraj;424
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Olomoucký kraj;180
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Zlínský kraj;149
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2014;Moravskoslezský kraj;216
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Hlavní město Praha;809
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Středočeský kraj;101
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Jihočeský kraj;126
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Plzeňský kraj;112
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Karlovarský kraj;7
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Ústecký kraj;51
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Liberecký kraj;80
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Královéhradecký kraj;81
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Pardubický kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Kraj Vysočina;195
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Jihomoravský kraj;335
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Olomoucký kraj;131
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Zlínský kraj;166
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2014;Moravskoslezský kraj;160
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Hlavní město Praha;973
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Středočeský kraj;143
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Jihočeský kraj;145
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Plzeňský kraj;138
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Karlovarský kraj;20
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Ústecký kraj;106
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Liberecký kraj;132
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Královéhradecký kraj;102
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Pardubický kraj;136
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Kraj Vysočina;241
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Jihomoravský kraj;404
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Olomoucký kraj;146
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Zlínský kraj;107
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2013;Moravskoslezský kraj;233
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Hlavní město Praha;605
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Středočeský kraj;122
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Jihočeský kraj;45
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Plzeňský kraj;93
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Karlovarský kraj;9
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Ústecký kraj;44
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Liberecký kraj;46
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Královéhradecký kraj;20
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Pardubický kraj;71
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Kraj Vysočina;183
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Jihomoravský kraj;231
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Olomoucký kraj;68
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Zlínský kraj;67
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2013;Moravskoslezský kraj;102
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Hlavní město Praha;964
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Středočeský kraj;119
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Jihočeský kraj;76
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Plzeňský kraj;148
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Karlovarský kraj;16
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Ústecký kraj;68
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Liberecký kraj;53
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Královéhradecký kraj;93
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Pardubický kraj;128
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Kraj Vysočina;294
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Jihomoravský kraj;516
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Olomoucký kraj;110
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Zlínský kraj;105
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2013;Moravskoslezský kraj;179
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Hlavní město Praha;885
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Středočeský kraj;148
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Jihočeský kraj;107
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Plzeňský kraj;139
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Karlovarský kraj;7
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Ústecký kraj;54
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Liberecký kraj;27
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Královéhradecký kraj;88
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Pardubický kraj;92
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Kraj Vysočina;222
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Jihomoravský kraj;428
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Olomoucký kraj;77
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Zlínský kraj;66
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2013;Moravskoslezský kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Hlavní město Praha;1164
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Středočeský kraj;163
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Jihočeský kraj;74
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Plzeňský kraj;160
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Karlovarský kraj;21
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Ústecký kraj;106
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Liberecký kraj;96
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Královéhradecký kraj;105
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Pardubický kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Kraj Vysočina;92
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Jihomoravský kraj;648
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Olomoucký kraj;75
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Zlínský kraj;114
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2012;Moravskoslezský kraj;290
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Hlavní město Praha;740
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Středočeský kraj;145
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Jihočeský kraj;54
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Plzeňský kraj;60
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Karlovarský kraj;11
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Ústecký kraj;45
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Liberecký kraj;55
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Královéhradecký kraj;40
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Pardubický kraj;51
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Kraj Vysočina;127
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Jihomoravský kraj;314
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Olomoucký kraj;56
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Zlínský kraj;113
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2012;Moravskoslezský kraj;166
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Hlavní město Praha;1282
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Středočeský kraj;230
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Jihočeský kraj;136
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Plzeňský kraj;101
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Karlovarský kraj;21
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Ústecký kraj;70
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Liberecký kraj;105
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Královéhradecký kraj;75
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Pardubický kraj;92
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Kraj Vysočina;215
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Jihomoravský kraj;537
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Olomoucký kraj;87
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Zlínský kraj;152
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2012;Moravskoslezský kraj;313
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Hlavní město Praha;1078
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Středočeský kraj;174
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Jihočeský kraj;56
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Plzeňský kraj;109
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Karlovarský kraj;15
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Ústecký kraj;46
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Liberecký kraj;109
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Královéhradecký kraj;84
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Pardubický kraj;109
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Kraj Vysočina;196
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Jihomoravský kraj;448
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Olomoucký kraj;107
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Zlínský kraj;107
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2012;Moravskoslezský kraj;309
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Hlavní město Praha;1285
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Středočeský kraj;127
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Jihočeský kraj;67
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Plzeňský kraj;141
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Karlovarský kraj;38
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Ústecký kraj;56
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Liberecký kraj;51
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Královéhradecký kraj;113
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Pardubický kraj;69
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Kraj Vysočina;193
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Jihomoravský kraj;486
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Olomoucký kraj;118
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Zlínský kraj;59
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2011;Moravskoslezský kraj;356
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Hlavní město Praha;687
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Středočeský kraj;145
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Jihočeský kraj;57
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Plzeňský kraj;95
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Karlovarský kraj;16
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Ústecký kraj;27
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Liberecký kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Královéhradecký kraj;33
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Pardubický kraj;66
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Kraj Vysočina;125
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Jihomoravský kraj;274
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Olomoucký kraj;64
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Zlínský kraj;48
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2011;Moravskoslezský kraj;143
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Hlavní město Praha;1159
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Středočeský kraj;214
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Jihočeský kraj;80
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Plzeňský kraj;76
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Karlovarský kraj;19
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Ústecký kraj;42
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Liberecký kraj;76
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Královéhradecký kraj;88
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Pardubický kraj;132
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Kraj Vysočina;202
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Jihomoravský kraj;463
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Olomoucký kraj;111
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Zlínský kraj;70
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2011;Moravskoslezský kraj;264
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2011;Hlavní město Praha;899
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2011;Středočeský kraj;145
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2011;Jihočeský kraj;51
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2011;Plzeňský kraj;103
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2011;Karlovarský kraj;9
